entities,group,test,framework,unit,timestamp,median,ci_lower,ci_upper,rounds
100,entity,create_empty,concord,s,2026-03-15 14:14:20Z,0.000173125,0.000172875,0.0001735,381
100,entity,create_empty,concord-no-serialize,s,2026-03-15 14:14:50Z,0.000078042,0.000077896,0.000078208,490
100,entity,create_empty,ecs-lua,s,2026-03-15 14:15:16Z,0.000092167,0.000091833,0.000092458,373
100,entity,create_empty,evolved,s,2026-03-15 14:15:49Z,8.333e-6,8.333e-6,8.333e-6,1000
100,entity,create_empty,lovetoys,s,2026-03-15 14:15:58Z,0.000118417,0.000118292,0.000118542,524
100,entity,create_empty,nata,s,2026-03-15 14:16:20Z,0.000048979,0.000048833,0.000049083,1000
100,entity,create_empty,tinyecs,s,2026-03-15 14:16:26Z,0.000031375,0.000031208,0.000031542,1000
100,entity,create_empty,concord,kb,2026-03-15 14:16:37Z,77.6719,77.6719,77.6719,100
100,entity,create_empty,concord-no-serialize,kb,2026-03-15 14:17:09Z,41.0234,41.0234,41.0234,100
100,entity,create_empty,ecs-lua,kb,2026-03-15 14:17:34Z,119.9766,119.9766,119.9766,100
100,entity,create_empty,evolved,kb,2026-03-15 14:18:12Z,2.1406,2.1406,2.1406,100
100,entity,create_empty,lovetoys,kb,2026-03-15 14:18:20Z,78.5,78.5,78.5,341
100,entity,create_empty,nata,kb,2026-03-15 14:18:44Z,34.25,34.25,34.25,100
100,entity,create_empty,tinyecs,kb,2026-03-15 14:18:49Z,28.375,28.375,28.375,155
100,entity,create_with_components,concord,s,2026-03-15 14:18:54Z,0.000319167,0.00031875,0.000319458,378
100,entity,create_with_components,concord-no-serialize,s,2026-03-15 14:19:26Z,0.000246667,0.000246292,0.000247042,451
100,entity,create_with_components,ecs-lua-batch,s,2026-03-15 14:19:54Z,0.000350833,0.0003503955,0.000351292,356
100,entity,create_with_components,ecs-lua-nobatch,s,2026-03-15 14:20:28Z,0.000380417,0.0003795,0.000381,353
100,entity,create_with_components,evolved-batch,s,2026-03-15 14:21:03Z,0.000011042,0.000011,0.000011042,1000
100,entity,create_with_components,evolved-nobatch,s,2026-03-15 14:21:13Z,0.00004675,0.000046708,0.00004675,1000
100,entity,create_with_components,lovetoys,s,2026-03-15 14:21:22Z,0.00026725,0.000267,0.000267521,466
100,entity,create_with_components,nata,s,2026-03-15 14:21:46Z,0.000060542,0.000060375,0.000060708,1000
100,entity,create_with_components,tinyecs,s,2026-03-15 14:21:52Z,0.000043708,0.000043458,0.000043917,1000
100,entity,create_with_components,concord,kb,2026-03-15 14:22:07Z,152.6719,152.6719,152.6719,100
100,entity,create_with_components,concord-no-serialize,kb,2026-03-15 14:22:41Z,115.1719,115.1719,115.1719,100
100,entity,create_with_components,ecs-lua-batch,kb,2026-03-15 14:23:08Z,234.1172,234.1172,234.1172,100
100,entity,create_with_components,ecs-lua-nobatch,kb,2026-03-15 14:23:51Z,248.1016,248.1016,248.1016,100
100,entity,create_with_components,evolved-batch,kb,2026-03-15 14:24:34Z,2.3594,2.3594,2.3594,100
100,entity,create_with_components,evolved-nobatch,kb,2026-03-15 14:24:42Z,2.5,2.5,2.5,646
100,entity,create_with_components,lovetoys,kb,2026-03-15 14:24:51Z,137.7188,137.7188,137.7188,325
100,entity,create_with_components,nata,kb,2026-03-15 14:25:17Z,56.125,56.125,56.125,100
100,entity,create_with_components,tinyecs,kb,2026-03-15 14:25:22Z,50.25,50.25,50.25,139
100,entity,destroy,concord,s,2026-03-15 14:25:28Z,0.000070708,0.000070542,0.000070917,435
100,entity,destroy,concord-no-serialize,s,2026-03-15 14:25:56Z,0.000069375,0.000069208,0.000069542,521
100,entity,destroy,ecs-lua,s,2026-03-15 14:26:20Z,0.000053521,0.0000533125,0.000053667,396
100,entity,destroy,evolved-batch,s,2026-03-15 14:26:51Z,0.000019583,0.000019542,0.000019583,874
100,entity,destroy,evolved-nobatch,s,2026-03-15 14:27:00Z,0.000044792,0.00004475,0.000044792,1000
100,entity,destroy,lovetoys,s,2026-03-15 14:27:08Z,0.0017097705,0.001709229,0.0017105835,292
100,entity,destroy,nata,s,2026-03-15 14:55:37Z,0.000044083,0.000044,0.000044083,1000
100,entity,destroy,tinyecs,s,2026-03-15 14:55:43Z,0.00001575,0.00001575,0.000015792,1000
100,entity,destroy,concord,kb,2026-03-15 14:55:53Z,6.9609,6.9609,6.9609,100
100,entity,destroy,concord-no-serialize,kb,2026-03-15 14:56:21Z,6.9609,6.9609,6.9609,100
100,entity,destroy,ecs-lua,kb,2026-03-15 14:56:46Z,18.2813,18.2813,18.2813,100
100,entity,destroy,evolved-batch,kb,2026-03-15 14:57:25Z,0.3984,0.3984,0.3984,100
100,entity,destroy,evolved-nobatch,kb,2026-03-15 14:57:32Z,0.0001,0.0001,0.0001,686
100,entity,destroy,lovetoys,kb,2026-03-15 14:57:41Z,0.0001,0.0001,0.0001,222
100,entity,destroy,nata,kb,2026-03-15 15:25:54Z,5.1484,5.1484,5.1484,100
100,entity,destroy,tinyecs,kb,2026-03-15 15:26:00Z,2.125,2.125,2.125,155
100,component,get,concord,s,2026-03-15 15:26:04Z,2.5e-6,2.5e-6,2.5e-6,438
100,component,get,concord-no-serialize,s,2026-03-15 15:26:33Z,2.458e-6,2.458e-6,2.5e-6,457
100,component,get,ecs-lua,s,2026-03-15 15:26:57Z,0.000020542,0.000020458,0.000020542,408
100,component,get,evolved,s,2026-03-15 15:27:28Z,0.000016083,0.000016083,0.000016083,260
100,component,get,lovetoys,s,2026-03-15 15:27:36Z,5.792e-6,5.792e-6,5.833e-6,563
100,component,get,nata,s,2026-03-15 15:27:57Z,2.208e-6,2.208e-6,2.208e-6,1000
100,component,get,tinyecs,s,2026-03-15 15:28:03Z,2.208e-6,2.208e-6,2.208e-6,1000
100,component,get,concord,kb,2026-03-15 15:28:13Z,0.0001,0.0001,0.0001,100
100,component,get,concord-no-serialize,kb,2026-03-15 15:28:41Z,0.0001,0.0001,0.0001,100
100,component,get,ecs-lua,kb,2026-03-15 15:29:07Z,7.8125,7.8125,7.8125,100
100,component,get,evolved,kb,2026-03-15 15:29:46Z,0.0001,0.0001,0.0001,100
100,component,get,lovetoys,kb,2026-03-15 15:29:54Z,0.0001,0.0001,0.0001,354
100,component,get,nata,kb,2026-03-15 15:30:16Z,0.0001,0.0001,0.0001,100
100,component,get,tinyecs,kb,2026-03-15 15:30:21Z,0.0001,0.0001,0.0001,156
100,component,set,concord,s,2026-03-15 15:30:26Z,2.708e-6,2.708e-6,2.75e-6,433
100,component,set,concord-no-serialize,s,2026-03-15 15:30:54Z,2.708e-6,2.708e-6,2.708e-6,476
100,component,set,ecs-lua,s,2026-03-15 15:31:19Z,0.000020958,0.000020917,0.000021,407
100,component,set,evolved,s,2026-03-15 15:31:51Z,0.000049167,0.000049167,0.000049208,262
100,component,set,lovetoys,s,2026-03-15 15:31:59Z,6.083e-6,6.083e-6,6.083e-6,570
100,component,set,nata,s,2026-03-15 15:32:20Z,2.458e-6,2.458e-6,2.458e-6,1000
100,component,set,tinyecs,s,2026-03-15 15:32:25Z,2.542e-6,2.5e-6,2.542e-6,1000
100,component,set,concord,kb,2026-03-15 15:32:35Z,0.0001,0.0001,0.0001,100
100,component,set,concord-no-serialize,kb,2026-03-15 15:33:04Z,0.0001,0.0001,0.0001,100
100,component,set,ecs-lua,kb,2026-03-15 15:33:29Z,7.8125,7.8125,7.8125,100
100,component,set,evolved,kb,2026-03-15 15:34:08Z,0.0001,0.0001,0.0001,100
100,component,set,lovetoys,kb,2026-03-15 15:34:15Z,0.0001,0.0001,0.0001,350
100,component,set,nata,kb,2026-03-15 15:34:38Z,0.0001,0.0001,0.0001,100
100,component,set,tinyecs,kb,2026-03-15 15:34:43Z,0.0001,0.0001,0.0001,147
100,component,add,concord,s,2026-03-15 15:34:48Z,0.000098458,0.000098292,0.000098625,425
100,component,add,concord-no-serialize,s,2026-03-15 15:35:17Z,0.000098292,0.000098208,0.000098458,497
100,component,add,ecs-lua-batch,s,2026-03-15 15:35:43Z,0.000180625,0.000180333,0.000181083,379
100,component,add,ecs-lua-nobatch,s,2026-03-15 15:36:16Z,0.0001951665,0.00019475,0.000195417,380
100,component,add,evolved-batch,s,2026-03-15 15:36:50Z,5.833e-6,5.833e-6,5.833e-6,1000
100,component,add,evolved-nobatch,s,2026-03-15 15:36:58Z,0.000061458,0.000061458,0.0000615,1000
100,component,add,lovetoys-batch,s,2026-03-15 15:37:08Z,0.000136667,0.000136542,0.00013675,493
100,component,add,lovetoys-nobatch,s,2026-03-15 15:37:30Z,0.000121417,0.000121333,0.000121667,543
100,component,add,nata,s,2026-03-15 15:37:53Z,0.000024917,0.000024875,0.000024958,1000
100,component,add,tinyecs,s,2026-03-15 15:37:59Z,0.000015833,0.00001575,0.000015875,1000
100,component,add,concord,kb,2026-03-15 15:38:14Z,44.4609,44.4609,44.4609,113
100,component,add,concord-no-serialize,kb,2026-03-15 15:38:44Z,44.4609,44.4609,44.4609,100
