entities,group,test,framework,unit,timestamp,median,ci_lower,ci_upper,rounds
100,entity,create_empty,concord,s,2026-03-15 12:18:35Z,0.000137333,0.00013675,0.000137896,572
100,entity,create_empty,concord-no-serialize,s,2026-03-15 12:18:55Z,0.000071646,0.00007125,0.000072146,674
100,entity,create_empty,ecs-lua,s,2026-03-15 12:19:13Z,0.000072792,0.000072333,0.000073083,773
100,entity,create_empty,evolved,s,2026-03-15 12:19:34Z,5.5e-6,5.5e-6,5.5e-6,1000
100,entity,create_empty,lovetoys,s,2026-03-15 12:19:40Z,0.000072333,0.000060021,0.000072542,1000
100,entity,create_empty,nata,s,2026-03-15 12:19:53Z,0.0000291875,0.000028875,0.0000295,1000
100,entity,create_empty,tinyecs,s,2026-03-15 12:19:57Z,0.000030667,0.000030542,0.000030792,1000
100,entity,create_empty,concord,kb,2026-03-15 12:20:14Z,51.1719,51.1719,51.1719,411
100,entity,create_empty,concord-no-serialize,kb,2026-03-15 12:20:36Z,26.8984,26.8984,26.8984,100
100,entity,create_empty,ecs-lua,kb,2026-03-15 12:20:54Z,82.3281,82.3281,82.3281,152
100,entity,create_empty,evolved,kb,2026-03-15 12:21:18Z,1.1172,1.1172,1.1172,100
100,entity,create_empty,lovetoys,kb,2026-03-15 12:21:23Z,58.0,58.0,58.0,523
100,entity,create_empty,nata,kb,2026-03-15 12:21:36Z,22.25,22.25,22.25,100
100,entity,create_empty,tinyecs,kb,2026-03-15 12:21:39Z,19.3828,19.3828,19.3828,203
100,entity,create_with_components,concord,s,2026-03-15 12:21:43Z,0.001349479,0.0011360625,0.001395729,146
100,entity,create_with_components,concord-no-serialize,s,2026-03-15 12:21:54Z,0.001211375,0.0008767705,0.001238667,174
100,entity,create_with_components,ecs-lua-batch,s,2026-03-15 12:22:05Z,0.00011225,0.000111458,0.000113333,739
100,entity,create_with_components,ecs-lua-nobatch,s,2026-03-15 12:22:23Z,0.000131208,0.000129917,0.000133833,951
100,entity,create_with_components,evolved-batch,s,2026-03-15 12:22:39Z,1.042e-6,1.042e-6,1.042e-6,1000
100,entity,create_with_components,evolved-nobatch,s,2026-03-15 12:22:42Z,3.458e-6,3.458e-6,3.5e-6,1000
100,entity,create_with_components,lovetoys,s,2026-03-15 12:22:46Z,0.000067583,0.000067479,0.000067667,1000
100,entity,create_with_components,nata,s,2026-03-15 12:22:52Z,0.000019208,0.000018958,0.0000195,1000
100,entity,create_with_components,tinyecs,s,2026-03-15 12:22:56Z,0.0000268125,0.000026625,0.000027,1000
100,entity,create_with_components,concord,kb,2026-03-15 12:23:26Z,101.1719,101.1719,101.1719,368
100,entity,create_with_components,concord-no-serialize,kb,2026-03-15 12:23:49Z,76.1719,76.1719,76.1719,100
100,entity,create_with_components,ecs-lua-batch,kb,2026-03-15 12:24:08Z,174.543,174.543,174.543,137
100,entity,create_with_components,ecs-lua-nobatch,kb,2026-03-15 12:24:34Z,193.2656,193.2656,193.2656,100
100,entity,create_with_components,evolved-batch,kb,2026-03-15 12:25:00Z,1.0547,1.0547,1.0547,100
100,entity,create_with_components,evolved-nobatch,kb,2026-03-15 12:25:05Z,1.3828,1.3828,1.3828,877
100,entity,create_with_components,lovetoys,kb,2026-03-15 12:25:12Z,103.8438,103.8438,103.8438,487
100,entity,create_with_components,nata,kb,2026-03-15 12:25:27Z,37.875,37.875,37.875,100
100,entity,create_with_components,tinyecs,kb,2026-03-15 12:25:30Z,35.0078,35.0078,35.0078,172
100,entity,destroy,concord,s,2026-03-15 12:25:34Z,0.000433958,0.000222,0.000633875,197
100,entity,destroy,concord-no-serialize,s,2026-03-15 12:25:44Z,0.000240292,0.000214375,0.000551542,243
100,entity,destroy,ecs-lua,s,2026-03-15 12:25:54Z,0.000020583,0.000020458,0.00002075,1000
100,entity,destroy,evolved-batch,s,2026-03-15 12:26:05Z,1.125e-6,1.125e-6,1.167e-6,1000
100,entity,destroy,evolved-nobatch,s,2026-03-15 12:26:08Z,3e-6,2.979e-6,3.042e-6,1000
100,entity,destroy,lovetoys,s,2026-03-15 12:26:13Z,0.000124083,0.000123896,0.000124292,1000
100,entity,destroy,nata,s,2026-03-15 12:28:11Z,9.375e-6,9.375e-6,9.417e-6,1000
100,entity,destroy,tinyecs,s,2026-03-15 12:28:14Z,4.542e-6,4.5e-6,4.542e-6,1000
100,entity,destroy,concord,kb,2026-03-15 12:28:29Z,3.9609,3.9609,3.9609,100
100,entity,destroy,concord-no-serialize,kb,2026-03-15 12:28:48Z,3.9609,3.9609,3.9609,100
100,entity,destroy,ecs-lua,kb,2026-03-15 12:29:05Z,11.3438,11.3438,11.3438,136
100,entity,destroy,evolved-batch,kb,2026-03-15 12:29:30Z,0.3672,0.3672,0.3672,100
100,entity,destroy,evolved-nobatch,kb,2026-03-15 12:29:35Z,0.0001,0.0001,0.0001,907
100,entity,destroy,lovetoys,kb,2026-03-15 12:29:42Z,0.0001,0.0001,0.0001,418
100,entity,destroy,nata,kb,2026-03-15 12:37:43Z,3.1563,3.1563,3.1563,100
100,entity,destroy,tinyecs,kb,2026-03-15 12:37:46Z,1.1328,1.1328,1.1328,164
100,component,get,concord,s,2026-03-15 12:37:50Z,7.083e-6,7.083e-6,7.125e-6,235
100,component,get,concord-no-serialize,s,2026-03-15 12:37:59Z,6.958e-6,6.917e-6,7e-6,203
100,component,get,ecs-lua,s,2026-03-15 12:38:09Z,1.708e-6,1.708e-6,1.708e-6,889
100,component,get,evolved,s,2026-03-15 12:38:24Z,6.25e-7,6.25e-7,6.67e-7,1000
100,component,get,lovetoys,s,2026-03-15 12:38:27Z,8.75e-7,8.75e-7,8.75e-7,1000
100,component,get,nata,s,2026-03-15 12:38:37Z,2.92e-7,2.92e-7,2.92e-7,1000
100,component,get,tinyecs,s,2026-03-15 12:38:41Z,2.92e-7,2.92e-7,2.92e-7,1000
100,component,get,concord,kb,2026-03-15 12:38:59Z,0.0001,0.0001,0.0001,428
100,component,get,concord-no-serialize,kb,2026-03-15 12:39:20Z,0.0001,0.0001,0.0001,100
100,component,get,ecs-lua,kb,2026-03-15 12:39:38Z,8.5938,8.5938,8.5938,136
100,component,get,evolved,kb,2026-03-15 12:40:03Z,0.0001,0.0001,0.0001,100
100,component,get,lovetoys,kb,2026-03-15 12:40:08Z,0.0001,0.0001,0.0001,509
100,component,get,nata,kb,2026-03-15 12:40:21Z,0.0001,0.0001,0.0001,100
100,component,get,tinyecs,kb,2026-03-15 12:40:24Z,0.0001,0.0001,0.0001,177
100,component,set,concord,s,2026-03-15 12:40:28Z,8.542e-6,8.458e-6,8.667e-6,250
100,component,set,concord-no-serialize,s,2026-03-15 12:40:37Z,8.083e-6,8e-6,8.417e-6,147
100,component,set,ecs-lua,s,2026-03-15 12:40:45Z,1.792e-6,1.792e-6,1.792e-6,933
100,component,set,evolved,s,2026-03-15 12:40:58Z,1.417e-6,1.417e-6,1.417e-6,1000
100,component,set,lovetoys,s,2026-03-15 12:41:01Z,9.17e-7,9.17e-7,9.58e-7,1000
100,component,set,nata,s,2026-03-15 12:41:10Z,2.92e-7,2.92e-7,3.33e-7,1000
100,component,set,tinyecs,s,2026-03-15 12:41:14Z,2.92e-7,2.92e-7,2.92e-7,1000
100,component,set,concord,kb,2026-03-15 12:41:32Z,0.0001,0.0001,0.0001,447
100,component,set,concord-no-serialize,kb,2026-03-15 12:41:53Z,0.0001,0.0001,0.0001,100
100,component,set,ecs-lua,kb,2026-03-15 12:42:10Z,8.5938,8.5938,8.5938,126
100,component,set,evolved,kb,2026-03-15 12:42:36Z,0.0001,0.0001,0.0001,100
100,component,set,lovetoys,kb,2026-03-15 12:42:41Z,0.0001,0.0001,0.0001,506
100,component,set,nata,kb,2026-03-15 12:42:54Z,0.0001,0.0001,0.0001,100
