entities,group,test,framework,unit,timestamp,median,ci_lower,ci_upper,rounds
100,entity,create_empty,concord,s,2026-02-13 22:53:13Z,0.000160229,0.000146542,0.00019175,100
100,entity,create_empty,concord-no-serialize,s,2026-02-13 22:53:28Z,0.0000559375,0.000051583,0.000063833,100
100,entity,create_empty,ecs-lua,s,2026-02-13 22:53:42Z,0.000032104,0.000031583,0.000032625,100
100,entity,create_empty,lovetoys,s,2026-02-13 22:53:56Z,0.0000437705,0.0000278955,0.000044083,100
100,entity,create_empty,nata,s,2026-02-13 22:54:02Z,0.000015875,0.00001525,0.000016083,100
100,entity,create_empty,tinyecs,s,2026-02-13 22:54:04Z,0.000024125,0.000023708,0.000024396,100
100,entity,create_empty,concord,kb,2026-02-13 22:54:20Z,51.1719,51.1719,51.1719,100
100,entity,create_empty,concord-no-serialize,kb,2026-02-13 22:54:48Z,26.8984,26.8984,27.03515,100
100,entity,create_empty,ecs-lua,kb,2026-02-13 22:55:10Z,82.2656,82.2656,82.2656,100
100,entity,create_empty,lovetoys,kb,2026-02-13 22:55:28Z,64.25,64.25,64.25,100
100,entity,create_empty,nata,kb,2026-02-13 22:55:38Z,22.25,22.25,22.25,100
100,entity,create_empty,tinyecs,kb,2026-02-13 22:55:40Z,20.0078,20.0078,20.0078,100
100,entity,create_with_components,concord,s,2026-02-13 22:55:42Z,0.000129,0.0001247085,0.000138458,100
100,entity,create_with_components,concord-no-serialize,s,2026-02-13 22:56:13Z,0.0000850835,0.000081729,0.0001005835,100
100,entity,create_with_components,ecs-lua-batch,s,2026-02-13 22:56:35Z,0.000103625,0.000103125,0.0001046665,100
100,entity,create_with_components,ecs-lua-nobatch,s,2026-02-13 22:56:51Z,0.0001343545,0.000127646,0.000143208,100
100,entity,create_with_components,lovetoys,s,2026-02-13 22:57:04Z,0.0001115835,0.000108125,0.000130792,100
100,entity,create_with_components,nata,s,2026-02-13 22:57:15Z,0.000018667,0.000018458,0.00001925,100
100,entity,create_with_components,tinyecs,s,2026-02-13 22:57:17Z,0.000026167,0.000025875,0.000026583,100
100,entity,create_with_components,concord,kb,2026-02-13 22:57:42Z,101.1719,101.1719,101.1719,100
