entities,test,framework,unit,timestamp,median,mean,stddev,min,max,rounds
10,add_empty_entity,echoes,s,2024-02-03 22:41:22Z,0.000001042,0.000001089,0.000000451,0.000000917,0.000037958,699975
10,add_empty_entity,echoes,kb,2024-02-03 22:41:23Z,0.3906,0.3906,0.0005,0.3906,0.8438,684622
10,add_empty_entity,lovetoys,s,2024-02-03 22:41:24Z,0.000002708,0.000003149,0.000001466,0.000002458,0.00024925,255449
10,add_empty_entity,lovetoys,kb,2024-02-03 22:41:26Z,5.2656,5.2656,0.0009,5.2656,5.7188,280265
10,add_empty_entity,tinyecs,s,2024-02-03 22:41:27Z,0.000001083,0.000001126,0.000000359,0.000000958,0.000043833,656753
10,add_empty_entity,tinyecs,kb,2024-02-03 22:41:28Z,1.7656,1.7656,0.0006,1.7656,2.2188,645075
10,add_empty_entity,ecs-lua,s,2024-02-03 22:41:30Z,0.000002917,0.000003156,0.000001032,0.000002583,0.000091625,235509
10,add_empty_entity,ecs-lua,kb,2024-02-03 22:41:31Z,9.2188,9.2188,0.0007,9.2188,9.5508,245511
10,add_empty_entity,nata,s,2024-02-03 22:41:33Z,0.000004167,0.000004295,0.000001068,0.000003917,0.000118917,188630
10,add_empty_entity,nata,kb,2024-02-03 22:41:34Z,1.9531,1.9531,0,1.9531,1.9531,190204
10,add_empty_entity,concord,s,2024-02-03 22:41:36Z,0.0000025,0.00000264,0.000001913,0.000002167,0.0003885,188443
10,add_empty_entity,concord,kb,2024-02-03 22:41:37Z,3.9219,3.922,0.0126,3.9219,6.7695,187720
10,add_entities,echoes,s,2024-02-03 22:41:38Z,0.00000525,0.000005304,0.00000111,0.000005042,0.000245708,169731
10,add_entities,echoes,kb,2024-02-03 22:41:40Z,12.8125,12.8125,0.0011,12.8125,13.2656,169437
10,add_entities,lovetoys,s,2024-02-03 22:41:41Z,0.000004875,0.000005014,0.000001152,0.000004583,0.000183208,172552
10,add_entities,lovetoys,kb,2024-02-03 22:41:43Z,9.3594,9.3594,0.0011,9.3594,9.8125,174872
10,add_entities,tinyecs,s,2024-02-03 22:41:44Z,0.000001458,0.000001512,0.00000038,0.00000125,0.000039042,489964
10,add_entities,tinyecs,kb,2024-02-03 22:41:46Z,3.9844,3.9844,0.0006,3.9844,4.4375,489655
10,add_entities,ecs-lua,s,2024-02-03 22:41:47Z,0.00000875,0.000008854,0.000001301,0.000008125,0.000108583,101088
10,add_entities,ecs-lua,kb,2024-02-03 22:41:49Z,20,20,0,20,20,101029
10,add_entities,nata,s,2024-02-03 22:41:50Z,0.0000045,0.000004599,0.000000793,0.00000425,0.00008175,180093
10,add_entities,nata,kb,2024-02-03 22:41:51Z,4.1719,4.1719,0.0008,4.1719,4.5039,179097
10,add_entities,concord,s,2024-02-03 22:41:53Z,0.000004208,0.00000444,0.000002245,0.000003833,0.000288875,136848
10,add_entities,concord,kb,2024-02-03 22:41:54Z,9.8594,9.8598,0.0313,9.8594,16.7617,139553
10,remove_entities,echoes,s,2024-02-03 22:41:55Z,0.000006042,0.000006145,0.000001544,0.000005708,0.00014875,79256
10,remove_entities,echoes,kb,2024-02-03 22:41:57Z,4.7656,4.7656,0.0016,4.7656,5.2188,79296
10,remove_entities,lovetoys,s,2024-02-03 22:41:58Z,0.000000375,0.000000406,0.000000668,0.000000292,0.000064583,80801
10,remove_entities,lovetoys,kb,2024-02-03 22:41:59Z,0.0001,0.0001,0.0016,0.0001,0.4531,79932
10,remove_entities,tinyecs,s,2024-02-03 22:42:00Z,0.000001333,0.000001391,0.000000352,0.000001167,0.000066792,400124
10,remove_entities,tinyecs,kb,2024-02-03 22:42:02Z,0.7031,0.7031,0.0007,0.7031,1.1563,389640
10,remove_entities,ecs-lua,s,2024-02-03 22:42:03Z,0.000000542,0.000000559,0.000000456,0.000000417,0.000034292,90185
10,remove_entities,ecs-lua,kb,2024-02-03 22:42:05Z,1.1016,1.1016,0,1.1016,1.1016,90199
10,remove_entities,concord,s,2024-02-03 22:42:06Z,0.000002583,0.000003597,0.000008684,0.000002,0.000374083,70917
10,remove_entities,concord,kb,2024-02-03 22:42:07Z,0.7969,0.9188,0.9716,0.7969,30.9063,60181
10,get_component,echoes,s,2024-02-03 22:42:09Z,0.000000083,0.00000009,0.000000313,0.000000001,0.000047917,142251
10,get_component,echoes,kb,2024-02-03 22:42:10Z,0.0001,0.0001,0.0012,0.0001,0.4531,139436
10,get_component,lovetoys,s,2024-02-03 22:42:11Z,0.000000083,0.000000066,0.000000108,0.000000001,0.000013708,82566
10,get_component,lovetoys,kb,2024-02-03 22:42:12Z,0.0001,0.0001,0.0016,0.0001,0.4531,83005
10,get_component,tinyecs,s,2024-02-03 22:42:14Z,0.000000042,0.000000043,0.00000005,0.000000001,0.000026167,837287
10,get_component,tinyecs,kb,2024-02-03 22:42:15Z,0.0001,0.0001,0.0005,0.0001,0.4531,823069
10,get_component,ecs-lua,s,2024-02-03 22:42:17Z,0.000000167,0.000000175,0.000000167,0.000000083,0.00002325,84091
10,get_component,ecs-lua,kb,2024-02-03 22:42:19Z,0.8594,0.8594,0.0016,0.8594,1.3125,82967
10,get_component,nata,s,2024-02-03 22:42:20Z,0.000000042,0.000000044,0.000000077,0.000000001,0.000022792,169186
10,get_component,nata,kb,2024-02-03 22:42:22Z,0.0001,0.0001,0.0011,0.0001,0.4531,169658
